compilation,reference,site,Proxy,Latitude,Longitude,Anom,source_table,weight
Bartlein,Bartlein et al. 2011,,pollen MAT,65.0,-37.0,-4.0,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,53.0,11.0,1.4447,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,55.0,17.0,0.7087,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,25.0,-0.4808,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,61.0,79.0,-1.9833,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,51.0,11.0,1.3897,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,55.0,81.0,-0.7833,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,39.0,23.0,-4.1292,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,53.0,19.0,-0.1878,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,69.0,21.0,1.4698,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,27.0,0.2525,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,37.0,29.0,-1.8617,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,-3.0,31.0,-2.5292,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,-91.0,-2.85,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,39.0,-79.0,-0.969,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,51.0,29.0,-0.878,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,61.0,5.0,2.904,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,71.0,29.0,0.2828,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,-107.0,-1.027,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,1.0,0.338,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,51.0,-3.0,1.5165,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,53.0,-117.0,-1.93,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,17.0,-1.8744,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,51.0,35.0,1.725,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,69.0,71.0,1.675,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,53.0,-131.0,0.0,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,63.0,13.0,1.662,Bartlein_mat.csv,1.0
