compilation,reference,site,Proxy,Latitude,Longitude,Anom,source_table,weight
Cleator,Cleator et al. 2020,,pollen MAT (assim.),25.0,-103.0,-4.874697,cleator2020_recon.csv,0.9063077870366499
Cleator,Cleator et al. 2020,,pollen MAT (assim.),27.0,-103.0,-5.52433,cleator2020_recon.csv,0.8910065241883679
Cleator,Cleator et al. 2020,,pollen MAT (assim.),29.0,-103.0,-6.561192,cleator2020_recon.csv,0.8746197071393957
Cleator,Cleator et al. 2020,,pollen MAT (assim.),31.0,-103.0,-7.881545,cleator2020_recon.csv,0.8571673007021123
Cleator,Cleator et al. 2020,,pollen MAT (assim.),33.0,-103.0,-8.757518,cleator2020_recon.csv,0.838670567945424
Cleator,Cleator et al. 2020,,pollen MAT (assim.),35.0,-103.0,-8.673376,cleator2020_recon.csv,0.8191520442889918
Cleator,Cleator et al. 2020,,pollen MAT (assim.),37.0,-103.0,-7.831259,cleator2020_recon.csv,0.7986355100472928
Cleator,Cleator et al. 2020,,pollen MAT (assim.),39.0,-103.0,-7.160236,cleator2020_recon.csv,0.7771459614569709
Cleator,Cleator et al. 2020,,pollen MAT (assim.),41.0,-103.0,-7.029705,cleator2020_recon.csv,0.754709580222772
Cleator,Cleator et al. 2020,,pollen MAT (assim.),43.0,-103.0,-7.64234,cleator2020_recon.csv,0.7313537016191705
Cleator,Cleator et al. 2020,,pollen MAT (assim.),19.0,-101.0,-3.796342,cleator2020_recon.csv,0.9455185755993168
Cleator,Cleator et al. 2020,,pollen MAT (assim.),21.0,-101.0,-4.584153,cleator2020_recon.csv,0.9335804264972017
Cleator,Cleator et al. 2020,,pollen MAT (assim.),23.0,-101.0,-4.600325,cleator2020_recon.csv,0.9205048534524404
Cleator,Cleator et al. 2020,,pollen MAT (assim.),25.0,-101.0,-4.675433,cleator2020_recon.csv,0.9063077870366499
Cleator,Cleator et al. 2020,,pollen MAT (assim.),27.0,-101.0,-5.380475,cleator2020_recon.csv,0.8910065241883679
Cleator,Cleator et al. 2020,,pollen MAT (assim.),29.0,-101.0,-6.211984,cleator2020_recon.csv,0.8746197071393957
Cleator,Cleator et al. 2020,,pollen MAT (assim.),31.0,-101.0,-7.677952,cleator2020_recon.csv,0.8571673007021123
Cleator,Cleator et al. 2020,,pollen MAT (assim.),33.0,-101.0,-9.131838,cleator2020_recon.csv,0.838670567945424
Cleator,Cleator et al. 2020,,pollen MAT (assim.),35.0,-101.0,-9.783961,cleator2020_recon.csv,0.8191520442889918
Cleator,Cleator et al. 2020,,pollen MAT (assim.),37.0,-101.0,-9.722347,cleator2020_recon.csv,0.7986355100472928
Cleator,Cleator et al. 2020,,pollen MAT (assim.),39.0,-101.0,-9.45408,cleator2020_recon.csv,0.7771459614569709
