lat, lon, mat_anm_mean, mat_se_mean, mat_tstat,mat_sig, mat_sig_val,mat_npts,p
31,-87,1.375,0.7401,1.8579,0,0,1,0.594387298
53,-1,1.4473,0.7412,1.9527,0,0,4,0.593935084
55,9,2.128,0.747,2.8486,1,2.128,4,0.591558542
55,-67,-1.143,0.7491,-1.5259,0,0,3,0.590701322
53,-63,-5.673,0.7506,-7.558,-1,-5.673,1,0.590090079
69,23,0.4938,0.7507,0.6578,0,0,5,0.590049361
45,-107,0.195,0.7529,0.259,0,0,1,0.589154548
55,27,-2.5275,0.7551,-3.3471,-1,-2.5275,4,0.588261625
61,129,0.425,0.7551,0.5628,0,0,4,0.588261625
33,101,-1.6,0.7576,-2.1119,-1,-1.6,2,0.587249231
51,-127,-3.354,0.7582,-4.4236,-1,-3.354,1,0.587006619
65,27,0.9284,0.7587,1.2237,0,0,5,0.586804549
41,-105,0.077,0.7608,0.1012,0,0,1,0.585956917
45,83,2.9,0.7653,3.7894,1,2.9,1,0.584146332
57,13,2.0885,0.7662,2.7258,1,2.0885,4,0.583785157
55,19,0.4805,0.7681,0.6256,0,0,4,0.583023707
67,-151,-1.0005,0.7688,-1.3014,0,0,3,0.582743525
65,-151,-0.1817,0.7689,-0.2364,0,0,3,0.582703515
65,-145,1.6877,0.7696,2.1929,1,1.6877,3,0.582423549
63,43,-0.055,0.7701,-0.0714,0,0,3,0.58222369
55,83,-1.65,0.7701,-2.1426,-1,-1.65,2,0.58222369
69,-157,0.4512,0.7714,0.5849,0,0,3,0.581704507
43,-5,2.4695,0.7725,3.1968,1,2.4695,4,0.581265709
63,11,2.7508,0.7764,3.5431,1,2.7508,4,0.579713727
67,-133,0.7845,0.7781,1.0083,0,0,3,0.579039055
61,-1,-0.0067,0.7803,-0.0085,0,0,3,0.578167598
43,1,1.4335,0.7821,1.8328,0,0,4,0.57745597
55,15,-1.3567,0.7821,-1.7347,0,0,4,0.57745597
67,-147,2.9046,0.7833,3.7083,1,2.9046,3,0.576982242
47,101,5.45,0.788,6.9167,1,5.45,2,0.575132112
65,-139,1.1138,0.789,1.4118,0,0,3,0.574739556
59,5,1.6567,0.7891,2.0994,1,1.6567,3,0.574700322
71,67,1.7,0.7908,2.1497,1,1.7,1,0.574033918
49,103,1.55,0.7932,1.9541,0,0,4,0.573094988
55,25,0.3715,0.7941,0.4678,0,0,4,0.572743454
63,17,0.6895,0.7943,0.868,0,0,4,0.572665377
63,-151,0.6101,0.7968,0.7658,0,0,3,0.5716907
47,19,-2.2463,0.7972,-2.8178,-1,-2.2463,4,0.571534972
