1. PROJECT
------------

Title: Glacial and Holocene Climates Reconstructed by Vegetation-Model Inversion
Dates: 01/10/15 - 31/09/19
Funding organisation: NERC, ERC
Grant no.: NERC award reference 1859127, ERC (Global Change 2.0: Unlocking the past for a clearer future (grant number 694481))

2. DATASET
------------

Title: A new multi-variable benchmark for Last Glacial Maximum climate simulations

Description: Reconstruction of climate anomalies for the Last Glacial Maximum (LGM, ca 21,000 years ago), made by combining pollen based reconstructions (from Bartlein et al. 2011) and averaged outputs of LGM simulations from the 3rd round of the Palaeoclimate Model Intercomparison Project (PMIP, Braconnot et al. 2011), under a variational data assimilation technique. This reconstruction is designed to be used for data-model comparison, specifically against the results of PMIP4. The dataset consists of 6 variables: moisture index (the ratio precipitation and equilibrium evapotranspiration), mean annual precipitation (mm), mean annual temperature (degrees C), mean temperature of the coldest month (degrees C), mean temperature of the warmest month (degrees C), growing degree days above 5 degrees C (day degrees C). The standard deviation of these variables is also given.

This dataset supersedes the version published at http://dx.doi.org/10.17864/1947.229, where an incorrect value for MI SD was used in Australia, a non-linear MAP non-dimensionalisation was used (instead of the linear one here), the background error covariance matrix was square rooted improperly and incorrect values for MI were used in central Asia.

Publication Year: 2020
Creator(s): S.F. Cleator, S.P. Harrison, N.K. Nichols, I.C. Prentice, I. Roulstone
Organisation(s): University of Surrey, University of Reading, Imperial College London
Rights-holder(s): S.F. Cleator, University of Surrey, University of Reading, Imperial College London

References:
    Bartlein et al. 2011 - P. J. Bartlein, S. P. Harrison, S. Brewer, S. Connor, B. A. S. Davis, K. Gajewski, J. Guiot, T. I. Harrison-Prentice, A. Henderson, O. Peyron, I. C. Prentice, M. Scholze, H. Seppä, B. Shuman, S. Sugita, R. S. Thompson, A. E. Viau, J. Williams, and H. Wu. Pollen-based continental climate reconstructions at 6 and 21 ka: a global synthesis. Climate Dynamics, 37:775–802, 2011.
    Braconnot et al. 2011 - Pascale Braconnot, Sandy P. Harrison, Bette Otto-Bliesner, Ayako Abe-Ouchi, Johann Jungclaus, and Jean-Yves Peterschmitt. The Paleoclimate Modeling Intercomparison Project contribution to CMIP5. CLIVAR Exchanges, 16(56):15–19, 2011.

3. TERMS OF USE
-----------------
Copyright 2020 Sean F. Cleator, University of Surrey, University of Reading, Imperial College London. This dataset is licensed by the rights-holder(s) under a Creative Commons Attribution 4.0 International Licence: https://creativecommons.org/licenses/by/4.0/.

4. CONTENTS
------------
File listing:
    LGM_reconstruction.csv - Last Glacial Maximum reconstruction anomalies at each grid cell.

5. METHOD and PROCESSING
--------------------------

This dataset is made by combining site-based pollen reconstructions with aggregated outputs of PMIP3. The possible climates are varied and the most likely climate is found under a 3D-Variational data assimilation scheme. The uncertainty from this process is then used to screen out areas where the pollen reconstructions have had a minimal effect. By using a vegetation model, the effect of changing CO_2 concentrations on pollen reconstructions is also accounted for. The error of the resulting reconstruction is also calculated and given as 1 standard deviation from the variables.

The individual fields are: 
    lat - grid cell centre latitude
    lon - grid cell centre longitude
    MI - moisture index
    MAP - mean annual precipitation (mm)
    MAT - mean annual temperature (degrees C)
    MTCO - mean temperature of the coldest month (degrees C)
    MTWA - mean temperature of the warmest month (degrees C)
    GDD5 - growing degree days above 5 degrees C (days degrees C)
    MI SD - moisture index standard deviation
    MAP SD - mean annual precipitation standard deviation (mm)
    MAT SD - mean annual temperature standard deviation (degrees C)
    MTCO SD - mean temperature of the coldest month standard deviation (degrees C)
    MTWA SD - mean temperature of the warmest month standard deviation (degrees C)
    GDD5 SD - growing degree days above 5 degrees C standard deviation (days degrees C)

# Reconstruction of anomalies of the Last Glacial Maximum (ca 21000 years ago) made by combining pollen based reconstructions and average PMIP3 outputs under a variational data assimilation technique.
# 
# Variables are given as:
# 
# lat - grid cell centre latitude
# lon - grid cell centre longitude
# MI - moisture index
# MAP - mean annual precipitation (mm)
# MAT - mean annual temperature (degrees C)
# MTCO - mean temperature of the coldest month (degrees C)
# MTWA - mean temperature of the warmest month (degrees C)
# GDD5 - growing degree days above 5 degrees C (days degrees C)
# MI SD - moisture index standard deviation
# MAP SD - mean annual precipitation standard deviation (mm)
# MAT SD - mean annual temperature standard deviation (degrees C)
# MTCO SD - mean temperature of the coldest month standard deviation (degrees C)
# MTWA SD - mean temperature of the warmest month standard deviation (degrees C)
# GDD5 SD - growing degree days above 5 degrees C standard deviation (days degrees C).
# 
# NaN values represent situations where a reconstruction isn't given.
# 
# lat, lon, MI, MAP, MAT, MTCO, MTWA, GDD5, MI SD, MAP SD, MAT SD, MTCO SD, MTWA SD, GDD5 SD
21.000000,-105.000000,0.108361,82.500000,-4.003236,-5.037400,-3.295400,-1461.190000,0.154012,226.274000,1.067310,1.232070,1.371790,389.570000
23.000000,-105.000000,0.200900,195.083000,-4.527123,-5.214800,-4.181000,-1652.420000,0.110581,149.550000,1.028130,1.109430,1.399430,375.267000
25.000000,-105.000000,0.308737,301.116000,-5.141416,-5.522650,-5.170500,-1840.140000,0.087260,103.507000,0.984902,1.056710,1.321850,306.082000
27.000000,-105.000000,  nan,329.612000,-5.940982,-6.317370,-6.026100,-2126.880000,  nan,97.160800,0.937267,1.007170,1.319430,293.561000
29.000000,-105.000000,0.363499,389.844000,-7.005208,-7.851060,-6.723000,-2343.860000,0.065587,78.327300,0.842525,0.904215,1.176410,247.698000
31.000000,-105.000000,0.448069,422.399000,-8.234336,-9.739540,-7.817000,-2338.170000,0.061367,67.395500,0.802148,0.874972,1.142070,199.645000
33.000000,-105.000000,0.554018,469.424000,-8.699472,-10.272960,-8.254300,-2088.380000,0.067844,66.429200,0.774102,0.759523,1.130460,195.544000
35.000000,-105.000000,0.564206,453.428000,-8.012056,-9.701260,-7.022000,-1707.510000,0.077585,72.244500,0.829469,0.823012,1.174360,183.658000
37.000000,-105.000000,0.510446,371.335000,-6.163638,-7.526170,-4.491200,-1050.220000,0.101193,89.279500,1.006960,1.062560,1.343530,213.588000
43.000000,-105.000000,  nan,-92.061000,-5.473406,-9.746400,-1.064700,  nan,  nan,81.031400,1.928490,1.851650,2.640850,  nan
19.000000,-103.000000,-0.030553,-81.711000,-3.467933,-4.373200,-3.144700,-1265.790000,0.099904,156.818000,1.055860,1.232850,1.318070,385.390000
21.000000,-103.000000,0.144807,124.841000,-4.382967,-5.122900,-4.191900,-1599.800000,0.141269,196.930000,1.220990,1.407590,1.636490,445.661000
23.000000,-103.000000,  nan,284.699000,-4.664324,-5.182180,-4.617800,-1690.630000,  nan,155.599000,1.225480,1.407680,1.649020,411.903000
25.000000,-103.000000,  nan,262.034000,-4.874697,-5.487820,-4.895100,-1779.280000,  nan,100.944000,1.054360,1.273300,1.357320,384.841000
27.000000,-103.000000,  nan,246.228000,-5.524330,-7.030090,-4.731000,-1984.460000,  nan,89.543400,0.886862,1.037590,1.205290,299.828000
29.000000,-103.000000,0.309644,304.307000,-6.561192,-8.778460,-5.255900,-2175.100000,0.064726,74.772900,0.804298,0.949176,1.162300,235.529000
31.000000,-103.000000,0.404494,375.234000,-7.881545,-10.514340,-6.412700,-2292.800000,0.067264,73.044300,0.841202,0.923786,1.216970,248.397000
33.000000,-103.000000,0.524833,405.835000,-8.757518,-11.638440,-7.132500,-2033.480000,0.073795,70.810900,0.905467,0.884485,1.310520,228.449000
35.000000,-103.000000,0.544160,378.260000,-8.673376,-11.657740,-6.707000,-1728.930000,0.082295,72.874100,0.960348,0.927341,1.355940,215.921000
37.000000,-103.000000,0.424361,267.727000,-7.831259,-10.829600,-5.394100,-1365.520000,0.094818,80.467500,1.059280,1.032980,1.407860,230.259000
39.000000,-103.000000,0.259206,109.975000,-7.160236,-10.737900,-3.925200,-994.980000,0.093593,80.641700,1.202670,1.151440,1.596690,261.191000
41.000000,-103.000000,0.070417,-44.748000,-7.029705,-11.229300,-2.894100,-828.650000,0.079623,77.734200,1.528220,1.454280,2.038250,285.769000
43.000000,-103.000000,-0.060262,-127.437000,-7.642340,-12.695200,-2.953200,  nan,0.055664,72.077300,2.018910,1.866430,2.730190,  nan
19.000000,-101.000000,0.008692,-42.880000,-3.796342,-4.678300,-3.467500,-1385.660000,0.095631,142.318000,1.170610,1.309210,1.519370,427.271000
21.000000,-101.000000,0.139921,130.961000,-4.584153,-5.268990,-4.623700,-1673.210000,0.102882,140.996000,1.371770,1.587710,1.845340,500.697000
23.000000,-101.000000,  nan,246.860000,-4.600325,-5.182880,-4.495700,-1679.130000,  nan,150.022000,1.238100,1.532990,1.620510,451.907000
25.000000,-101.000000,0.255062,237.086000,-4.675433,-6.147180,-3.893600,-1706.530000,0.094814,109.189000,1.019610,1.304130,1.293910,372.157000
27.000000,-101.000000,  nan,195.803000,-5.380475,-8.690250,-3.304700,-1914.580000,  nan,87.580300,0.807045,1.145220,1.152930,270.245000
29.000000,-101.000000,0.303687,248.913000,-6.211984,-10.079753,-3.608600,-2006.600000,0.070297,77.984300,0.638748,0.949325,1.045930,188.442000
31.000000,-101.000000,0.438542,342.890000,-7.677952,-11.725300,-4.970000,-2012.260000,0.076322,78.568900,0.789713,0.985124,1.146900,195.838000
33.000000,-101.000000,0.493350,355.953000,-9.131838,-13.346690,-6.264600,-2117.730000,0.078192,75.782300,0.989489,1.091020,1.332180,239.824000
35.000000,-101.000000,0.538614,318.427000,-9.783961,-14.017300,-6.675900,-1884.160000,0.089842,76.311000,1.115480,1.173680,1.481160,267.131000
37.000000,-101.000000,0.409429,191.126000,-9.722347,-14.044500,-6.181700,-1641.920000,0.085210,67.513900,1.130480,1.146760,1.450170,241.130000
39.000000,-101.000000,0.266528,52.634000,-9.454080,-13.977600,-5.483600,-1318.320000,0.085457,61.434100,1.182860,1.165410,1.494340,215.294000
41.000000,-101.000000,0.100493,-62.668000,-9.449883,-14.139600,-5.079600,-1117.410000,0.069865,57.562800,1.523530,1.437210,1.994960,284.992000
43.000000,-101.000000,0.000582,-116.691000,-9.801968,-14.853800,-5.206800,  nan,0.068463,62.590500,2.100990,1.851850,2.901520,  nan
17.000000,-99.000000,  nan,  nan,-3.879634,-5.229700,-3.419900,-1416.080000,  nan,  nan,1.243350,1.427370,1.575790,453.823000
19.000000,-99.000000,0.427700,353.230000,-4.649129,-5.714960,-4.215000,-1696.930000,0.310301,346.481000,1.324100,1.603540,1.595890,483.295000
21.000000,-99.000000,0.072572,-67.210000,-4.685293,-6.353400,-3.851700,-1710.140000,0.114710,148.772000,1.220940,1.443120,1.453390,445.642000
23.000000,-99.000000,0.039583,-39.894000,-4.717912,-7.586700,-3.074200,-1722.050000,0.104911,136.154000,1.134370,1.365180,1.371090,414.045000
25.000000,-99.000000,0.070493,6.769000,-4.878833,-8.892050,-2.173900,-1771.730000,0.118188,142.136000,0.985527,1.236410,1.298200,330.813000
27.000000,-99.000000,0.122085,75.350000,-5.252478,-10.270470,-1.819600,-1831.280000,0.092391,108.174000,0.713245,1.087130,1.076350,239.000000
29.000000,-99.000000,0.212344,145.421000,-5.878996,-11.059986,-2.178500,-1835.180000,0.069209,78.626400,0.340343,0.860616,0.820350,110.952000
31.000000,-99.000000,0.352488,210.108000,-7.670936,-12.815670,-3.915000,-1846.160000,0.066535,67.279600,0.694507,1.009440,0.975932,169.103000
33.000000,-99.000000,0.403053,192.054000,-9.365022,-14.613750,-5.332800,-2021.760000,0.066985,60.196900,1.012140,1.201930,1.272660,236.843000
35.000000,-99.000000,0.399248,150.628000,-10.431742,-15.391500,-6.418500,-1986.170000,0.072752,58.986800,1.171150,1.291980,1.473960,272.866000
37.000000,-99.000000,0.381766,92.868000,-10.874984,-15.336300,-7.009800,-1854.120000,0.077946,56.689600,1.137520,1.195580,1.408430,237.044000
39.000000,-99.000000,0.283941,17.831000,-11.001010,-15.104500,-7.252700,-1719.800000,0.074748,52.046200,1.054430,1.083390,1.268880,188.764000
41.000000,-99.000000,0.233424,-34.523000,-11.516848,-15.341700,-7.974000,-1574.270000,0.101133,61.927400,1.481880,1.330680,2.025330,287.218000
17.000000,-97.000000,  nan,  nan,-4.523758,-6.316190,-3.893600,-1651.190000,  nan,  nan,1.166960,1.440520,1.408080,425.940000
19.000000,-97.000000,0.229495,9.440000,-5.096153,-7.043180,-4.263000,-1860.090000,0.225123,241.105000,1.251900,1.514480,1.376260,456.943000
29.000000,-97.000000,0.137598,17.899000,-6.232660,-12.393170,-1.737500,-1886.280000,0.062305,72.330600,0.617448,1.008420,0.887650,177.346000
31.000000,-97.000000,0.232361,67.761000,-7.786541,-13.708590,-3.426300,-2036.530000,0.057080,58.623600,0.672674,0.970514,0.828270,176.058000
33.000000,-97.000000,0.289570,39.392000,-9.330332,-15.162930,-4.693400,-1946.840000,0.060047,51.988200,0.930260,1.120100,1.088780,214.391000
35.000000,-97.000000,0.331815,-0.386000,-10.782074,-15.901200,-6.527900,-2070.130000,0.072379,54.118900,1.103920,1.228470,1.315470,254.316000
37.000000,-97.000000,0.345896,-33.777000,-11.870012,-16.076600,-8.246400,-2101.390000,0.075598,49.231800,1.042000,1.080400,1.245310,214.970000
39.000000,-97.000000,0.326458,-58.903000,-12.423280,-15.768400,-9.405100,-1996.740000,0.069400,40.590900,0.898174,0.902675,1.005110,159.462000
17.000000,-95.000000,  nan,  nan,-4.723547,-7.222800,-3.651200,-1724.080000,  nan,  nan,1.214120,1.353670,1.519760,443.154000
31.000000,-95.000000,0.090294,-114.910000,-7.459727,-13.565520,-2.852200,-1957.640000,0.058361,59.707300,0.727178,0.945895,0.785746,163.475000
33.000000,-95.000000,0.142597,-135.720000,-8.882041,-14.707930,-4.211200,-1929.810000,0.052187,46.534300,0.741015,0.863241,0.773738,169.164000
35.000000,-95.000000,0.195913,-178.196000,-11.046306,-15.900800,-7.022800,-2171.800000,0.067775,50.839600,0.940322,1.022210,1.073470,217.545000
37.000000,-95.000000,0.268876,-183.404000,-12.950775,-16.524900,-10.072500,-2330.950000,0.069386,41.279600,0.898697,0.917152,1.043130,156.843000
39.000000,-95.000000,0.297779,-170.706000,-13.549720,-15.981200,-11.612100,-2305.425000,0.043548,22.519000,0.569815,0.595380,0.248796,91.014700
17.000000,-93.000000,  nan,-63.890000,-5.233116,-7.588380,-3.796300,-1910.100000,  nan,203.509000,1.191420,1.329650,1.447440,434.869000
31.000000,-93.000000,0.000084,-255.470000,-7.711400,-13.580540,-3.467400,-2087.980000,0.049917,51.041100,0.658465,0.836542,0.662432,165.735000
33.000000,-93.000000,-0.026114,-304.636000,-8.823243,-14.326790,-4.511900,-1958.110000,0.035263,33.344100,0.454237,0.525687,0.284031,102.358000
35.000000,-93.000000,-0.016570,-377.175000,-11.939376,-16.236400,-8.654400,-2456.430000,0.058499,47.945200,0.738413,0.776359,0.818129,151.546000
37.000000,-93.000000,0.120317,-347.509000,-14.532852,-17.342100,-12.575200,-2564.943000,0.068040,39.814800,0.766802,0.774420,0.879460,134.066000
39.000000,-93.000000,0.108085,-300.728000,-14.313513,-16.261100,-12.939200,-2430.997000,0.030563,14.593700,0.461818,0.456653,0.279338,78.447700
15.000000,-91.000000,  nan,  nan,-5.345816,-7.287080,-4.215100,-1951.230000,  nan,  nan,1.186870,1.319130,1.478370,433.208000
17.000000,-91.000000,  nan,-7.340000,-5.470121,-7.839200,-4.331800,-1996.600000,  nan,157.756000,1.214110,1.309420,1.463100,443.150000
19.000000,-91.000000,0.073157,4.520000,-5.204885,-8.153600,-3.497900,-1899.780000,0.097554,138.840000,1.282560,1.361950,1.579020,468.136000
31.000000,-91.000000,-0.124579,-420.200000,-8.121914,-12.940460,-5.096900,-2288.900000,0.050094,50.674200,0.637270,0.737009,0.675929,182.083000
33.000000,-91.000000,-0.155754,-471.132000,-9.966187,-14.433960,-7.145800,-2367.830000,0.048094,43.254200,0.583780,0.580680,0.629970,137.516000
35.000000,-91.000000,-0.149098,-522.781000,-13.215430,-16.800800,-11.234100,-2900.430000,0.058257,46.307200,0.662378,0.646994,0.780903,140.075000
37.000000,-91.000000,-0.005377,-451.599000,-15.938154,-17.946600,-15.265900,-3049.801000,0.063688,38.222700,0.654525,0.674274,0.745081,114.012000
39.000000,-91.000000,0.045472,-326.453000,-14.850164,-16.435000,-14.240200,-2673.691000,0.055153,30.396900,0.669915,0.647395,0.805595,123.684000
41.000000,-91.000000,0.595566,-37.481000,-15.947204,-16.688500,-16.108600,-2569.898000,0.065711,26.459200,0.664777,0.711133,1.711050,66.935700
15.000000,-89.000000,  nan,  nan,-5.897181,-8.056400,-4.648700,-2152.490000,  nan,  nan,1.151590,1.259080,1.438990,420.329000
17.000000,-89.000000,  nan,43.450000,-5.600599,-8.153200,-3.882300,-2044.240000,  nan,167.957000,1.157080,1.201080,1.446070,422.335000
19.000000,-89.000000,0.085396,51.820000,-5.129259,-8.160400,-3.370300,-1872.190000,0.118906,178.966000,1.227100,1.274350,1.545650,447.891000
21.000000,-89.000000,0.110977,80.700000,-5.143325,-8.722700,-2.794200,-1877.320000,0.100159,147.359000,1.163030,1.248330,1.421660,424.507000
31.000000,-89.000000,-0.175292,-445.900000,-7.835422,-11.367760,-6.106900,-2360.390000,0.043747,43.776600,0.594345,0.621441,0.665350,171.942000
33.000000,-89.000000,-0.255464,-567.014000,-9.905741,-12.925710,-8.674700,-2510.780000,0.051043,44.361300,0.618751,0.599344,0.717599,145.835000
35.000000,-89.000000,-0.272730,-644.714000,-12.909739,-15.642200,-12.062300,-2686.342000,0.061847,44.683600,0.611643,0.598041,0.742661,108.550000
37.000000,-89.000000,-0.137806,-526.364000,-14.276598,-16.271700,-13.936400,-2816.154000,0.064450,40.819100,0.692868,0.675428,0.869659,124.871000
39.000000,-89.000000,0.016220,-332.981000,-13.871192,-15.516300,-13.331400,-2503.486000,0.067991,39.970900,0.732161,0.713194,1.531650,138.045000
13.000000,-87.000000,  nan,  nan,-5.568927,-6.694500,-5.340100,-2032.660000,  nan,  nan,1.055150,1.060710,1.338980,385.128000
15.000000,-87.000000,  nan,-8.940000,-5.956658,-8.458700,-4.774000,-2174.200000,  nan,137.467000,1.078390,1.213740,1.347490,393.613000
31.000000,-87.000000,-0.254663,-508.880000,-6.854993,-9.381014,-6.075000,-2152.030000,0.031333,32.827900,0.462284,0.425912,0.512586,137.199000
33.000000,-87.000000,-0.431228,-692.691000,-8.666125,-10.893180,-8.198200,-2299.860000,0.041113,38.643000,0.540883,0.508629,0.626724,127.785000
35.000000,-87.000000,-0.504087,-782.366000,-10.920620,-13.262500,-10.271000,-2361.440000,0.048821,37.513000,0.508780,0.499440,0.931080,89.256900
37.000000,-87.000000,-0.338932,-607.884000,-11.938863,-14.035500,-11.753900,-2431.916000,0.051448,34.991600,0.608703,0.566299,0.791788,111.719000
11.000000,-85.000000,  nan,  nan,-5.776963,-6.796000,-5.734900,-2108.600000,  nan,  nan,0.847264,0.911949,1.079940,309.251000
13.000000,-85.000000,  nan,  nan,-5.970071,-7.656600,-5.214100,-2179.070000,  nan,  nan,1.018650,0.993113,1.382480,371.806000
15.000000,-85.000000,  nan,-95.250000,-5.673045,-8.210400,-4.387000,-2070.680000,  nan,201.882000,1.106510,1.119740,1.488150,403.876000
31.000000,-85.000000,-0.224634,-445.722000,-6.418733,-9.083518,-5.682300,-2037.700000,0.008861,9.139800,0.250340,0.093096,0.205935,81.925600
33.000000,-85.000000,-0.349230,-594.908000,-7.927146,-10.471360,-7.188400,-2184.010000,0.028944,29.105300,0.416722,0.402352,0.470576,97.870100
35.000000,-85.000000,-0.531914,-764.184000,-9.904732,-12.482400,-8.824200,-2049.370000,0.018573,14.190400,0.229943,0.285450,0.198123,36.429900
37.000000,-85.000000,-0.320571,-560.470000,-10.432911,-12.878600,-9.777400,-2122.500000,0.018079,11.873600,0.276798,0.326896,0.156002,57.400300
9.000000,-83.000000,  nan,  nan,-6.224423,-7.085540,-5.528200,-2271.910000,  nan,  nan,0.666567,0.544147,1.129050,243.297000
31.000000,-83.000000,-0.056351,-271.465000,-7.857427,-13.219220,-4.967900,-2255.960000,0.034327,38.676000,0.291721,0.098371,0.409442,97.740500
33.000000,-83.000000,-0.198591,-393.320000,-7.357145,-11.904800,-5.000200,-1991.250000,0.036270,36.270400,0.379018,0.413559,0.496239,104.378000
35.000000,-83.000000,-0.114755,-499.260000,-10.564386,-14.387750,-8.481000,-2328.110000,0.041871,35.104000,0.406052,0.515842,0.472263,89.066600
37.000000,-83.000000,-0.107653,-456.066000,-12.468074,-15.661400,-11.002800,-2129.122000,0.053781,31.650400,0.591298,0.634454,0.747432,106.012000
-5.000000,-81.000000,-0.008846,  nan,-4.059862,-3.918600,-3.956200,-1481.840000,0.001240,  nan,0.876201,1.022140,1.109730,319.813000
23.000000,-81.000000,0.075937,41.110000,-4.739885,-10.494400,-0.730700,-1730.050000,0.052188,80.074500,0.743232,0.858553,0.916800,271.280000
27.000000,-81.000000,0.150126,71.600000,-6.000066,-13.765480,-0.794900,-2129.080000,0.027966,38.973000,0.279505,0.270681,0.298377,98.652800
33.000000,-81.000000,-0.001220,-175.300000,-5.911899,-12.752390,-1.517400,-1473.290000,0.034645,37.735100,0.222865,0.381196,0.437618,69.685500
35.000000,-81.000000,0.153062,-234.203000,-13.245199,-19.065400,-9.927900,-2620.420000,0.037764,29.844400,0.266943,0.490122,0.301402,42.147100
37.000000,-81.000000,-0.039739,-396.889000,-15.064258,-20.023600,-12.265600,-2605.934000,0.064727,40.872000,0.662188,0.747770,0.861816,119.445000
-7.000000,-79.000000,  nan,  nan,-5.415279,-5.718200,-5.198460,-1976.578000,  nan,  nan,1.104350,1.351670,1.379970,403.086000
-5.000000,-79.000000,  nan,  nan,-5.405851,-5.671700,-5.431500,-1973.150000,  nan,  nan,0.974210,1.185770,1.244540,355.587000
-3.000000,-79.000000,  nan,  nan,-5.593023,-5.672620,-5.541930,-2041.450000,  nan,  nan,0.942081,1.126890,1.270120,343.859000
-1.000000,-79.000000,  nan,  nan,-6.204430,-6.200800,-5.863600,-2001.200000,  nan,  nan,0.861949,1.170360,1.273530,0.000000
1.000000,-79.000000,  nan,  nan,-5.856473,-6.049100,-5.621800,-2137.610000,  nan,  nan,0.641716,0.898816,1.062310,234.226000
9.000000,-79.000000,  nan,  nan,-5.992240,-6.627800,-6.197300,-2187.160000,  nan,  nan,0.569185,0.645095,1.005230,207.753000
35.000000,-79.000000,0.194004,-235.083000,-14.604280,-22.648600,-9.809900,-2812.840000,0.024534,18.609500,0.207820,0.430088,0.239071,33.365700
37.000000,-79.000000,-0.102608,-445.000000,-15.400129,-22.788800,-10.699500,-2452.210000,0.045534,30.193200,0.482995,0.561397,0.633814,89.775900
-11.000000,-77.000000,0.015734,  nan,-4.775102,-5.107040,-4.461080,-1175.600000,0.154689,  nan,0.914046,0.981740,1.181610,0.000000
-9.000000,-77.000000,  nan,  nan,-4.760684,-4.996660,-4.800470,-1737.649000,  nan,  nan,0.861981,1.015510,1.086300,314.623000
-7.000000,-77.000000,  nan,  nan,-4.494466,-4.621800,-4.552700,-1640.470000,  nan,  nan,0.896065,1.028870,1.140060,327.064000
-5.000000,-77.000000,  nan,  nan,-4.591393,-4.590600,-4.477500,-1675.870000,  nan,  nan,0.946310,1.070720,1.121200,345.403000
-3.000000,-77.000000,  nan,  nan,-4.819947,-4.742800,-5.008300,-1759.290000,  nan,  nan,0.850362,0.948930,1.165180,310.382000
-1.000000,-77.000000,  nan,  nan,-5.229126,-5.142400,-5.241500,-1908.630000,  nan,  nan,0.662955,0.708046,0.712859,241.979000
1.000000,-77.000000,  nan,  nan,-5.968097,-6.025910,-5.799600,-2178.360000,  nan,  nan,0.508735,0.223791,0.955270,185.688000
3.000000,-77.000000,  nan,  nan,-6.501078,-6.606600,-6.315800,-2372.900000,  nan,  nan,0.507632,0.567544,0.968259,185.286000
5.000000,-77.000000,  nan,  nan,-6.353041,-6.684200,-6.136500,-2318.870000,  nan,  nan,0.541249,0.821599,0.970945,197.556000
7.000000,-77.000000,  nan,  nan,-6.172310,-6.616900,-5.905600,-2252.890000,  nan,  nan,0.564528,0.791398,0.966651,206.053000
21.000000,-77.000000,0.097775,93.430000,-4.862375,-9.342100,-1.890900,-1774.750000,0.086472,133.780000,0.894464,1.078720,1.106780,326.479000
35.000000,-77.000000,-0.031185,-412.931000,-12.911908,-23.421100,-6.894200,-2861.760000,0.047812,38.442200,0.486057,0.671834,0.625232,98.828700
37.000000,-77.000000,-0.306205,-601.491000,-13.897746,-23.680900,-7.571300,-3107.990000,0.012900,10.531300,0.160915,0.197273,0.129392,33.521700
-15.000000,-75.000000,0.104520,  nan,-4.075623,-4.283600,-3.855300,-1487.620000,0.036163,  nan,1.054360,1.298960,1.284570,384.843000
-13.000000,-75.000000,-0.201947,  nan,-5.188154,-5.472980,-4.797160,-269.300000,0.342686,  nan,1.185450,1.409090,1.399060,0.000000
-11.000000,-75.000000,  nan,  nan,-4.822026,-5.109000,-4.374000,-1760.030000,  nan,  nan,0.951673,1.162850,1.148150,347.361000
-9.000000,-75.000000,  nan,  nan,-4.233289,-4.374200,-4.089500,-1545.160000,  nan,  nan,0.860590,0.990260,1.039320,314.115000
-7.000000,-75.000000,  nan,  nan,-3.990225,-4.036200,-3.999600,-1456.420000,  nan,  nan,1.068830,1.163450,1.373290,390.122000
-5.000000,-75.000000,  nan,  nan,-4.234345,-4.228000,-4.122900,-1545.520000,  nan,  nan,1.118810,1.281770,1.444670,408.365000
-3.000000,-75.000000,  nan,  nan,-4.525052,-4.498000,-4.248200,-1651.660000,  nan,  nan,1.039300,1.148210,1.410720,379.344000
-1.000000,-75.000000,  nan,  nan,-5.023527,-4.937600,-4.812200,-1833.590000,  nan,  nan,0.819134,0.835398,1.199300,298.984000
1.000000,-75.000000,  nan,  nan,-5.652723,-5.730500,-5.577200,-2063.250000,  nan,  nan,0.575932,0.606051,0.955881,210.215000
3.000000,-75.000000,  nan,  nan,-6.494127,-6.826300,-6.130400,-2370.340000,  nan,  nan,0.513425,0.591766,0.937041,187.400000
5.000000,-75.000000,  nan,  nan,-6.992101,-6.839300,-7.079200,-2552.100000,  nan,  nan,0.482936,0.717651,0.565348,176.272000
7.000000,-75.000000,  nan,  nan,-6.909475,-7.767600,-6.447300,-2521.970000,  nan,  nan,0.600323,0.989421,0.999314,219.118000
9.000000,-75.000000,  nan,  nan,-6.005241,-6.222900,-5.640700,-2191.920000,  nan,  nan,0.675024,0.916761,1.050630,246.384000
11.000000,-75.000000,  nan,  nan,-5.412741,-6.496500,-5.008200,-1975.640000,  nan,  nan,0.724600,0.895701,1.065310,264.479000
-15.000000,-73.000000,-0.389145,  nan,-5.519695,-5.686670,-5.158970,0.000000,0.140005,  nan,1.636840,1.954480,1.867070,0.000000
-13.000000,-73.000000,-0.341738,  nan,-4.845126,-5.055280,-4.847200,-1768.470000,0.070642,  nan,1.152660,1.468810,1.337040,420.722000
-11.000000,-73.000000,  nan,  nan,-3.944588,-3.977900,-3.584900,-1439.780000,  nan,  nan,1.000990,0.981870,1.229860,365.362000
-9.000000,-73.000000,  nan,  nan,-3.675799,-3.563700,-3.521000,-1341.650000,  nan,  nan,1.198440,1.112340,1.488580,437.430000
-7.000000,-73.000000,  nan,  nan,-4.149756,-4.332500,-3.822200,-1514.660000,  nan,  nan,1.055190,1.528820,1.193210,385.143000
-5.000000,-73.000000,  nan,  nan,-4.425114,-4.660800,-3.976000,-1615.160000,  nan,  nan,1.090010,1.338770,1.265380,397.854000
-3.000000,-73.000000,  nan,  nan,-4.628844,-5.021000,-4.259000,-1689.520000,  nan,  nan,1.011340,1.180200,1.279570,369.139000
-1.000000,-73.000000,  nan,  nan,-4.839237,-5.161500,-4.243100,-1766.330000,  nan,  nan,0.839218,0.886811,1.146710,306.315000
1.000000,-73.000000,  nan,  nan,-5.171852,-5.300700,-4.776200,-1887.720000,  nan,  nan,0.691255,0.665773,1.043020,252.308000
